#frame timestamp_s tracking_time_s
306 1305031464.327866077 0.071217790
307 1305031464.359683990 0.071276590
308 1305031464.395611048 0.071423702
309 1305031464.427634001 0.071475990
310 1305031464.459688902 0.071515732
311 1305031464.495632887 0.071571767
312 1305031464.527574062 0.071619749
313 1305031464.559703112 0.071678586
314 1305031464.595698118 0.071715638
315 1305031464.627671957 0.071805969
316 1305031464.659749031 0.071901485
317 1305031464.695662975 0.072348818
318 1305031464.727652073 0.072457835
319 1305031464.759740114 0.072513781
320 1305031464.796020985 0.072554335
321 1305031464.827759027 0.072706684
322 1305031464.859653950 0.072791755
323 1305031464.895817041 0.072936147
324 1305031464.927798986 0.073110849
325 1305031464.959763050 0.073162124
326 1305031464.995687008 0.073227182
327 1305031465.027822971 0.073266588
328 1305031465.059748888 0.073272750
329 1305031465.095700026 0.073352732
330 1305031465.127664089 0.073405161
331 1305031465.159842014 0.073501475
332 1305031465.195564032 0.073743261
333 1305031465.227906942 0.073830299
334 1305031465.259807110 0.074010022
335 1305031465.295623064 0.074039355
336 1305031465.327673912 0.074045353
337 1305031465.359947920 0.074363261
338 1305031465.395586014 0.074365482
339 1305031465.427696943 0.074443430
340 1305031465.460124969 0.074510515
341 1305031465.495702982 0.074551925
342 1305031465.527621984 0.074591458
343 1305031465.559812069 0.074595220
344 1305031465.595598936 0.074769013
345 1305031465.627687931 0.074936956
346 1305031465.660059929 0.075034514
347 1305031465.695667982 0.075071715
348 1305031465.727682114 0.075086601
349 1305031465.759766102 0.075160526
350 1305031465.795937061 0.075179622
351 1305031465.827996016 0.075239398
352 1305031465.859860897 0.075249843
353 1305031465.895493984 0.075272672
354 1305031465.927495003 0.075451285
355 1305031465.959709883 0.075675763
356 1305031465.995753050 0.075938985
357 1305031466.027643919 0.076062635
358 1305031466.059756994 0.076093368
359 1305031466.095839977 0.076172836
360 1305031466.127640009 0.076425552
361 1305031466.160428047 0.076431982
362 1305031466.195832968 0.076494291
363 1305031466.227951050 0.076599680
364 1305031466.259814978 0.076723121
365 1305031466.295737028 0.076797105
366 1305031466.327702045 0.077057101
367 1305031466.359828949 0.077186413
368 1305031466.395783901 0.077277064
369 1305031466.427819014 0.077299245
370 1305031466.459789991 0.077395894
371 1305031466.495809078 0.077750258
372 1305031466.527538061 0.077910885
373 1305031466.560353041 0.078011483
374 1305031466.595936060 0.078123033
375 1305031466.627548933 0.078235179
376 1305031466.659687996 0.078414232
377 1305031466.695822001 0.078446381
378 1305031466.728074074 0.078546919
379 1305031466.759637117 0.078845747
380 1305031466.795603991 0.078882731
381 1305031466.827878952 0.079018801
382 1305031466.859664917 0.079057261
383 1305031466.895694017 0.079060726
384 1305031466.927756071 0.079106636
385 1305031466.959728003 0.079256944
386 1305031466.995712042 0.079299703
387 1305031467.027842999 0.079351634
388 1305031467.059700012 0.079574756
389 1305031467.095686913 0.079604559
390 1305031467.128973961 0.079678521
391 1305031467.159660101 0.079733908
392 1305031467.195662975 0.079782389
393 1305031467.227704048 0.079786353
394 1305031467.259694099 0.079890624
395 1305031467.295845985 0.079932198
396 1305031467.328007936 0.080067605
397 1305031467.359653950 0.080086254
398 1305031467.395756006 0.080110811
399 1305031467.427783012 0.080137327
400 1305031467.459692001 0.080236033
401 1305031467.496057987 0.080433011
402 1305031467.527662992 0.080495268
403 1305031467.559762955 0.080589250
404 1305031467.595988989 0.080947451
405 1305031467.627532005 0.081024431
406 1305031467.659626007 0.081063464
