#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,70.904959,3.794758,0.000000,20.434259,0.045962,0.103536,99.900485
0.000000,0.000000,77.864575,3.800148,0.000000,26.034000,0.042259,0.971138,107.557224
0.000000,0.000000,71.609971,3.890183,0.000000,22.413018,0.040518,0.849362,99.825042
0.000000,0.000000,77.635892,4.467844,0.000000,22.378018,0.056555,0.753956,110.078829
0.000000,0.000000,72.349908,4.552843,0.000000,19.645971,0.046648,0.107314,100.650423
0.000000,0.000000,73.031328,3.701149,0.000000,20.638868,0.054425,0.119351,104.957732
0.000000,0.000000,70.453576,6.295178,0.000000,20.823867,0.038648,0.127147,101.675357
0.000000,0.000000,72.000949,4.084089,0.000000,20.719831,0.049277,0.150295,98.705924
0.000000,0.000000,72.393834,4.320882,0.000000,27.860630,11.230314,0.104943,105.492430
0.000000,0.000000,77.271063,4.444938,0.000000,14.168600,13.710067,0.108129,108.142033
0.000000,0.000000,70.241967,3.736019,0.000000,18.372762,17.775342,0.130758,99.137901
0.000000,0.000000,71.700804,3.869332,0.000000,7.030226,7.174151,0.119758,97.513714
0.000000,0.000000,79.981054,3.893906,0.000000,20.462796,0.038147,0.141406,107.260654
0.000000,0.000000,80.417791,3.854294,0.000000,20.782386,0.042574,0.126036,107.808518
0.000000,0.000000,74.715551,4.547658,0.000000,20.539795,0.060333,0.147240,101.433045
0.000000,0.000000,83.010117,4.223606,0.000000,21.153345,0.045999,0.112813,89.508442
0.000000,0.000000,80.829528,3.813610,0.000000,22.350500,0.048000,0.099499,126.912828
0.000000,0.000000,78.570309,5.963756,0.000000,21.671896,0.059796,0.790733,115.745680
0.000000,0.000000,88.462155,3.877109,0.000000,21.961800,0.043555,0.738882,130.968676
0.000000,0.000000,83.480446,3.432540,0.000000,20.564832,0.053499,0.782363,103.104750
0.000000,0.000000,73.464120,4.080107,0.000000,23.132936,0.045981,0.686475,100.369018
0.000000,0.000000,80.093035,4.902488,0.000000,22.089372,0.140239,0.964731,108.187940
0.000000,0.000000,78.819456,3.753556,0.000000,25.324600,0.044110,0.722401,105.405394
0.000000,0.000000,73.413935,3.718055,0.000000,21.088271,0.038333,0.903491,100.573275
0.000000,0.000000,71.523676,3.626909,0.000000,22.956993,0.046759,0.625753,99.771488
0.000000,0.000000,87.475480,3.690759,0.000000,29.883776,15.151405,0.112055,115.234315
0.000000,0.000000,74.772607,4.319532,0.000000,15.293273,20.897626,0.118943,104.348702
0.000000,0.000000,79.086453,3.441021,0.000000,21.873671,17.643325,0.118165,105.754854
0.000000,0.000000,79.539430,4.017164,0.000000,24.360202,21.475805,0.138369,109.323392
0.000000,0.000000,74.660812,3.610316,0.000000,19.562454,17.797064,0.121925,103.525932
0.000000,0.000000,72.126041,3.810869,0.000000,19.497324,20.548128,0.122518,103.598912
0.000000,0.000000,69.917692,4.332068,0.000000,9.745533,8.759765,0.111036,97.621287
0.000000,0.000000,77.770503,3.695389,0.000000,32.907080,17.836359,0.120276,105.737335
0.000000,0.000000,71.511936,3.805388,0.000000,11.526052,8.804116,0.126814,77.382877
0.000000,0.000000,69.291643,3.593039,0.000000,24.587514,0.062573,0.106870,120.993350
0.000000,0.000000,68.559317,3.967923,0.000000,24.941382,0.050907,0.103647,111.871645
0.000000,0.000000,85.848719,4.715138,0.000000,19.785692,0.045130,0.123498,132.515865
0.000000,0.000000,104.484404,6.610915,0.000000,20.411760,0.052870,1.010823,159.511781
0.000000,0.000000,81.352634,4.817249,0.000000,20.566888,0.048888,0.722401,126.667460
0.000000,0.000000,97.124773,3.387373,0.000000,21.021883,0.048944,0.791714,143.170574
0.000000,0.000000,105.221396,7.748552,0.000000,21.785246,0.055980,0.727326,134.530123
0.000000,0.000000,89.126057,3.856294,0.000000,20.979662,0.039296,0.964564,146.058156
0.000000,0.000000,98.216800,4.448197,0.000000,20.575758,0.043037,0.966379,125.263549
0.000000,0.000000,74.259224,3.698019,0.000000,20.319464,0.041370,0.920954,104.986510
0.000000,0.000000,75.090937,3.813462,0.000000,20.522166,0.044147,0.648012,106.419440
0.000000,0.000000,81.714167,4.036775,0.000000,23.792819,0.049110,0.854122,107.876796
