frame,timestamp_s,yolo_ms,detections
492,1305031470.527689,670.3218880065833,7
493,1305031470.559677,714.4440909978584,6
494,1305031470.59576,610.4865800007246,4
495,1305031470.627729,545.5763530044351,5
496,1305031470.65969,498.0117240047548,3
497,1305031470.69563,546.611016994575,2
498,1305031470.727654,534.8744509974495,2
499,1305031470.759682,556.8358390009962,3
500,1305031470.795615,623.8953189968015,2
501,1305031470.827831,700.7189750001999,3
502,1305031470.859645,611.7570649948902,3
503,1305031470.895722,542.5081030043657,3
504,1305031470.927684,534.4095710024703,1
505,1305031470.959647,534.304347995203,0
506,1305031470.995996,501.66578199423384,3
507,1305031471.027644,531.5983469990897,3
508,1305031471.059636,666.2225469990517,1
509,1305031471.095777,686.0764900047798,2
510,1305031471.127663,654.5652560016606,3
511,1305031471.159649,630.8997570013162,4
512,1305031471.195703,582.0577029953711,6
513,1305031471.227569,576.0705950015108,5
514,1305031471.259722,581.5150339985848,4
515,1305031471.296068,669.553141000506,5
516,1305031471.327642,748.0074410050292,4
517,1305031471.359615,694.7984299986274,5
518,1305031471.39573,580.1816940002027,5
519,1305031471.427704,587.9568710006424,7
520,1305031471.459647,564.8050570016494,7
521,1305031471.496491,570.8864580010413,7
522,1305031471.527624,602.6805760047864,6
523,1305031471.559671,751.5592190029565,5
524,1305031471.595702,768.0848680029158,4
525,1305031471.627621,639.0817409992451,6
526,1305031471.659642,803.6878679995425,6
527,1305031471.695609,592.1275009968667,5
528,1305031471.727501,562.1700449992204,4
529,1305031471.759702,605.9152450034162,5
530,1305031471.795801,726.9318180042319,3
531,1305031471.827639,758.524971002771,3
532,1305031471.859665,593.6654729957809,6
533,1305031471.895604,578.2555030018557,3
534,1305031471.927651,587.5085119987489,3
535,1305031471.959643,579.0912960001151,6
536,1305031471.995573,586.673065998184,3
537,1305031472.027638,696.0816660066484,2
538,1305031472.059668,753.8236269974732,7
539,1305031472.095601,656.1858280037995,3
540,1305031472.127594,586.1399849964073,4
541,1305031472.159645,556.27743700461,4
542,1305031472.195682,572.798827997758,4
543,1305031472.227626,572.6601600035792,3
544,1305031472.26384,620.971593001741,3
545,1305031472.295671,697.6361479974003,3
546,1305031472.327678,733.5802969973884,4
547,1305031472.363577,574.5840210001916,5
548,1305031472.395599,578.9177190017654,5
549,1305031472.427686,587.554393998289,3
550,1305031472.463603,576.5586260022246,5
551,1305031472.495626,551.9973530026618,4
552,1305031472.527625,697.2843570038094,4
553,1305031472.563587,725.3183829961927,3
554,1305031472.595675,662.1189799989224,5
555,1305031472.627701,584.3451830005506,5
556,1305031472.663575,576.5100420030649,5
557,1305031472.695755,578.6576320024324,5
558,1305031472.727628,577.7386670015403,6
559,1305031472.763578,595.4833529976895,4
560,1305031472.79564,777.0855030030361,5
561,1305031472.827627,735.9356150045642,5
562,1305031472.863598,577.5082350010052,5
563,1305031472.895713,573.30470099987,5
564,1305031472.927685,582.2123010002542,8
565,1305031472.963756,587.130702995637,8
566,1305031472.995704,561.8487440005993,7
567,1305031473.027638,697.2748099942692,8
568,1305031473.063684,755.628358994727,6
569,1305031473.095695,629.4154669958516,9
570,1305031473.127744,550.2224360025139,8
571,1305031473.16706,539.7636300040176,8
572,1305031473.196069,585.3077299980214,9
